Kana,Kanji,Definition,Type,Lesson
えきいん,駅員,station attendant,Nouns,16
おや,親,parent,Nouns,16
しんせき,しんせき,relatives,Nouns,16
ごみ,ゴミ,garbage,Nouns,16
さとう,砂糖,sugar,Nouns,16
ふぁいる,ファイル,(file) folder; portfolio; file,Nouns,16
おおきさ,大きさ,size,Nouns,16
みち,道,way; road; directions,Nouns,16
きまつしけん,期末試験,final examination,Nouns,16
けんきゅう,研究,research,Nouns,16
だいがくいん,大学院,graduate school,Nouns,16
しょうがくきん,奨学金,scholarship,Nouns,16
すいせんじょう,推薦状,letter of recommendation,Nouns,16
たいふう,台風,typhoon,Nouns,16
ぶんか,文化,culture,Nouns,16
へんじ,返事,reply,Nouns,16
ひ,日,day,Nouns,16
きたない,汚い,dirty,i-adjective,16
おこす,起こす,to wake (someone) up （〜を）,u-verb,16
おごる,おごる,to treat (someone) to a meal （person に meal を）,u-verb,16
わらう,笑う,to laugh,u-verb,16
おちこむ,落ち込む,to get depressed,u-verb,16
こまる,困る,to have difficulty,u-verb,16
だす,出す,to take (something) out; to hand (something) in （〜を）,u-verb,16
なおす,直す,to correct; to fix （〜を）,u-verb,16
みつける,見つける,to be found （〜が）,u-verb,16
やくす,訳す,to translate （source を target に）,u-verb,16
かす,貸す,to lend （にを）,u-verb,16
つれていく,連れて行く,to take (someone) to (a place)（person を place に）,u-verb,16
みちに まよう,道に迷う,to become lost; to lose one's way,u-verb,16
むかえに いく,迎えに行く,to go to pick up （place まで/に person を）,u-verb,16
あつめる,集める,to collect（〜を）,ru-verb,16
はいれる,入れる,to put (something) in（thing を place に）,ru-verb,16
みせる,見せる,to show（person に thing を）,ru-verb,16
のりおくれる,乗り遅れる,"to miss (a train, bus, etc.)（〜に）",ru-verb,16
あいろんを かける,アイロンをかける,to iron (clothes)（〜に）,ru-verb,16
あさ ねぼうする,朝寝坊する,to oversleep,irregular verb,16
あんないする,案内する,to show (someone) around（place を）,irregular verb,16
せつめいする,説明する,to explain,irregular verb,16
むかえに くる,迎えに来る,to come to pick up（place まで/に person を）,irregular verb,16
きょうちゅうに,今日中に,by the end of today,adverbs & other,16
じゅぎょうちゅうに,授業中に,in class; during the class,adverbs & other,16
このあいだ,この間,the other day,adverbs & other,16
これから,これから,from now on,adverbs & other,16
このぐらい,このぐらい,about this much（＝これぐらい/このくらい/これくらい）,adverbs & other,16
じぶんで,自分で,(do something) by oneself,adverbs & other,16
ほかの,ほかの,other,adverbs & other,16
ええと,ええと,well...; let me see...,adverbs & other,16
じつは,実は,actually; in fact,adverbs & other,16
〜いがい,〜以外,other than...,adverbs & other,16
ごめん,ごめん,I'm sorry. (casual),adverbs & other,16
しつれいします,失礼します,Excuse me.; Sorry to interrupt you.,adverbs & other,16
あかちゃん,赤ちゃん,baby,Nouns,17
おきゃくさん,お客さん,guest; visitor; client; customer,Nouns,17
しゅしょう,首相,prime minister,Nouns,17
さらりーまん,サラリーマン,salaryman; office worker,Nouns,17
きゅうりょう,給料,salary,Nouns,17
ざんぎょう,残業,overtime work,Nouns,17
ぱんだ,パンダ,panda,Nouns,17
こんたくと（れんず）,コンタクト（レンズ）,contact lenses,Nouns,17
ひげ,ひげ,beard,Nouns,17
ぶーつ,ブーツ,boots,Nouns,17
かぎ,かぎ,lock; key,Nouns,17
たからくじ,宝くじ,lottery,Nouns,17
かみ,紙,paper,Nouns,17
すぷーん,スプーン,spoon,Nouns,17
おゆ,お湯,hot water,Nouns,17
でんしれんじ,電子レンジ,microwave oven,Nouns,17
ひーたー,ヒーター,heater,Nouns,17
にゅーす,ニュース,news,Nouns,17
かじ,火事,fire,Nouns,17
りょこうがいしゃ,旅行会社,travel agency,Nouns,17
しょっぴんぐもーる,ショッピングモール,shopping mall,Nouns,17
りょう,寮,dormitory,Nouns,17
ちがい,違い,difference,Nouns,17
ひみつ,秘密,secret,Nouns,17
じゅんび,準備,preparation,Nouns,17
じぶんで,自分で,oneself,Nouns,17
あぶない,危ない,dangerous,i-adjective,17
うらやましい,うらやましい,envious,i-adjective,17
すくない,少ない,a little; a few,i-adjective,17
つごうが わるい,都合が悪い,inconvenient; to have a scheduling conflict,i-adjective,17
つよい,強い,strong,i-adjective,17
さいあく,最悪,the worst,na-adjective,17
えらぶ,選ぶ,to choose; to select（〜を）,u-verbs,17
おゆを わかす,お湯を沸かす,to boil water,u-verbs,17
かみを とかす,髪をとかす,to comb one's hair,u-verbs,17
ひげを そる,ひげをそる,to shave one's beard,u-verbs,17
ぬぐ,脱ぐ,to take off (clothes)（〜を）,u-verbs,17
こむ,混む,to get crowded（〜が）,u-verbs,17
たからくじに あたる,宝くじに当たる,to win a lottery,u-verbs,17
いれる,いれる,"to make tea, coffee, etc.（〜を）",ru-verbs,17
うまれる,生まれる,to be born（〜が）,ru-verbs,17
かぎを かける,かぎをかける,to lock（〜に）,ru-verbs,17
たりる,足りる,to be sufficient; to be enough（〜が）,ru-verbs,17
なれる,慣れる,to get used to...（〜に）,ru-verbs,17
おいのりする,お祈りする,to pray（〜に）,irregular verb,17
けしょうする,化粧する,to put makeup on,irregular verb,17
しゅうしょくする,就職する,to get a full-time job (at...) （company に）,irregular verb,17
りこんする,離婚する,to get a divorce（person と）,irregular verb,17
する,する,"to wear small items (necktie, watch, etc.)（〜を）",irregular verb,17
ずいぶん,ずいぶん,very,adverbs & other,17
たとえば,例えば,for example,adverbs & other,17
～に くらべて,～に比べて,compared with...,adverbs & other,17
～によると,～によると,according to...,adverbs & other,17
まえ,前,before...,adverbs & other,17
やっぱり,やっぱり,after all,adverbs & other,17
～かな（あ）,～かな（あ）,I wonder... (casual),adverbs & other,17
そうか,そうか,I see. (casual),adverbs & other,17
おめでとうございます,おめでとうございます,Congratulations!,adverbs & other,17
